num_qubits,N,positive_rmse,dagger_rmse,composition_rmse,qpt_single_rmse,qpt_com_rmse
2,10000,0.12,0.112,0.185,0.528,2.252
2,20000,0.082,0.074,0.148,0.258,1.65
2,30000,0.071,0.057,0.13,0.263,1.267
2,40000,0.058,0.055,0.13,0.216,1.333
2,50000,0.054,0.048,0.125,0.152,0.758
2,60000,0.045,0.038,0.122,0.188,0.8
2,70000,0.04,0.04,0.123,0.162,0.698
2,80000,0.042,0.036,0.121,0.168,0.719
2,90000,0.039,0.033,0.122,0.182,0.807
2,100000,0.038,0.030,0.122,0.142,0.661
4,10000,1.002,0.781,11.044,69.754,107.763
4,20000,0.628,0.497,4.546,66.791,112.459
4,30000,0.439,0.458,2.785,49.852,70.99
4,40000,0.404,0.403,2.488,47.869,78.64
4,50000,0.363,0.385,1.769,40.251,61.818
4,60000,0.343,0.329,1.541,38.999,60.08
4,70000,0.311,0.314,1.223,33.943,47.37
4,80000,0.28,0.305,1.098,33.448,49.721
4,90000,0.262,0.305,1.062,30.542,44.854
4,100000,0.253,0.276,0.882,31.121,40.47
6,10000,3.125,2.874,,,
6,20000,1.984,2.55,,,
6,30000,1.77,1.923,,,
6,40000,1.568,1.774,,,
6,50000,1.379,1.742,,,
6,60000,1.309,1.53,,,
6,70000,1.2,1.323,,,
6,80000,1.143,1.298,,,
6,90000,1.051,1.219,,,
6,100000,0.931,1.161,,,
8,10000,6.676,7.303,,,
8,20000,5.21,4.761,,,
8,30000,4.232,3.757,,,
8,40000,3.578,3.402,,,
8,50000,3.129,3.103,,,
8,60000,2.691,2.636,,,
8,70000,2.491,2.486,,,
8,80000,2.287,2.231,,,
8,90000,2.279,2.215,,,
8,100000,2.091,2.175,,,
